lead_time,no_of_special_requests,avg_price_per_room,arrival_month,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,type_of_meal_plan,room_type_reserved,booking_status
194,0,86.62,7,9,4,1,2,0,1,0
1,0,136.18,5,26,4,3,1,0,0,1
90,3,95.0,9,5,3,5,1,0,0,1
4,1,125.0,12,28,4,4,1,0,0,1
112,0,131.4,8,17,4,2,0,0,3,0
257,0,101.5,7,1,3,2,0,1,0,0
275,0,62.8,6,4,4,1,1,0,0,0
132,2,162.0,9,22,4,3,0,0,3,1
314,0,75.0,10,12,3,3,0,0,0,0
0,0,95.0,8,31,3,4,0,0,0,1
21,0,142.0,2,29,3,0,1,0,4,1
132,0,72.25,7,14,3,3,0,0,0,1
292,0,90.0,7,21,3,2,0,1,0,1
71,1,69.0,3,17,4,2,0,0,1,1
149,2,119.0,8,3,4,4,2,0,0,1
4,1,77.0,1,9,4,1,0,3,0,1
256,2,94.35,10,23,4,3,2,0,0,0
150,2,41.43,3,19,3,5,2,0,0,1
14,2,86.85,7,22,4,2,0,0,1,1
114,0,266.3,8,2,4,2,0,0,6,0
75,0,105.0,10,30,3,0,2,1,0,0
131,0,108.0,10,10,4,0,1,3,0,0
148,0,100.8,6,2,4,3,0,0,0,1
169,0,106.0,4,22,3,2,2,1,0,0
2,0,55.0,3,2,3,1,0,0,0,1
12,0,135.0,5,7,4,1,0,0,0,0
41,0,62.0,1,20,4,4,0,3,0,1
135,2,127.8,7,17,4,0,2,0,3,1
131,0,94.5,8,15,3,1,2,1,0,0
6,0,65.0,8,12,2,1,0,0,0,1
17,1,106.77,10,17,4,1,2,0,0,1
107,1,130.0,6,10,3,2,0,0,0,1
6,0,87.0,12,18,4,2,1,0,0,1
114,0,75.0,7,1,3,2,1,0,0,0
137,0,198.0,8,8,4,3,1,1,3,0
14,2,109.75,9,7,4,3,1,0,0,1
252,2,148.58,12,28,4,9,2,0,1,0
1,0,95.0,9,6,2,1,0,0,0,1
4,0,121.0,5,31,2,2,0,0,0,1
128,1,80.75,6,26,4,2,2,3,0,1
176,1,90.0,3,20,4,4,2,0,0,1
317,0,120.0,9,15,3,2,0,0,0,0
8,3,129.2,6,4,4,1,0,0,0,1
35,2,118.0,10,27,4,3,0,3,0,1
64,0,140.0,5,17,2,2,0,0,0,0
110,3,168.1,7,30,4,1,2,0,5,1
19,0,99.2,8,31,4,1,0,0,0,0
129,0,118.8,8,25,4,2,0,0,3,1
0,3,134.57,6,27,4,4,1,0,3,1
54,0,140.4,6,4,4,1,0,0,3,0
14,0,105.0,7,21,2,2,0,0,0,1
163,1,99.45,6,29,4,4,0,0,3,1
8,1,85.0,2,19,3,2,1,0,0,1
82,1,80.0,5,2,3,1,1,0,0,1
309,0,101.0,5,13,3,2,1,1,0,0
14,0,100.0,10,15,3,1,0,0,0,1
90,0,89.25,10,25,4,4,2,0,0,1
20,1,12.0,8,5,4,1,0,0,0,1
77,1,105.3,4,6,4,2,0,0,3,1
208,2,112.5,8,21,4,0,2,0,0,0
349,0,80.0,10,4,4,5,1,0,0,0
32,0,115.1,4,17,4,0,1,3,0,0
221,0,71.28,12,31,3,1,1,0,0,1
245,1,58.36,12,27,4,5,2,0,0,0
11,3,135.0,10,2,4,0,2,3,0,1
42,0,60.0,1,14,3,3,1,0,0,1
18,1,186.5,10,2,4,2,0,0,5,1
51,0,123.3,3,30,4,3,0,0,3,1
268,0,80.75,10,9,3,3,2,0,0,1
104,2,142.2,7,21,4,3,1,0,3,1
48,3,131.7,7,9,4,1,2,0,0,1
22,1,64.37,11,14,4,2,1,3,0,1
17,1,142.63,11,9,4,4,0,0,0,1
34,1,108.9,5,22,4,0,2,0,0,1
5,0,80.0,12,19,3,1,2,0,0,1
36,1,108.9,6,19,4,1,2,0,0,1
50,2,69.57,2,22,4,4,1,0,0,1
322,0,80.0,5,19,3,3,1,0,0,0
81,0,90.95,4,8,4,3,2,0,0,0
81,0,96.3,3,27,4,0,1,0,0,1
21,0,95.0,10,17,2,1,1,0,0,1
2,0,125.0,9,1,2,1,0,0,4,1
30,1,94.5,9,13,4,0,2,0,0,0
10,0,119.0,6,14,4,1,0,0,3,0
53,2,85.85,3,28,4,4,1,0,0,1
162,1,114.3,6,26,4,0,2,0,3,0
116,0,61.0,2,28,3,1,2,0,0,0
71,0,120.0,6,14,3,3,0,0,0,1
74,1,99.45,3,21,4,3,1,0,3,1
33,1,149.0,10,26,4,4,0,0,0,0
67,0,116.1,5,13,4,2,0,3,0,0
49,1,161.1,8,21,4,0,2,0,0,1
304,0,74.15,10,21,4,2,1,0,0,0
4,1,84.0,1,22,4,2,0,3,0,1
32,1,130.0,11,11,4,2,0,0,0,0
14,1,98.67,10,30,3,2,1,0,3,1
66,2,179.1,11,7,4,3,1,0,0,1
120,0,72.76,5,12,4,1,0,3,0,1
86,0,137.7,7,26,4,2,0,0,3,1
75,0,80.0,3,17,3,3,1,0,0,0
97,0,80.75,5,16,3,1,1,0,0,1
38,1,89.1,6,1,4,1,0,3,0,1
75,1,149.4,8,12,4,3,2,0,3,1
78,2,110.84,12,26,4,4,1,0,3,1
13,2,0.0,8,16,4,0,0,3,0,1
10,1,65.0,7,4,2,1,1,0,0,1
221,1,90.95,8,14,4,5,4,0,0,1
56,1,56.83,3,15,4,3,0,0,0,1
5,0,66.0,2,3,2,1,0,0,0,1
194,2,77.23,4,17,4,3,2,0,0,1
0,2,81.6,12,14,4,5,2,0,0,1
109,0,75.0,5,23,3,3,1,0,0,1
85,0,103.5,6,30,4,3,0,3,0,0
41,0,72.37,2,18,4,3,0,0,1,1
7,1,119.5,8,20,4,3,1,0,0,0
13,1,100.0,9,15,2,1,0,3,0,1
256,1,115.0,6,15,3,2,0,1,0,0
150,0,106.0,7,25,2,4,1,0,4,1
36,2,147.6,9,28,4,3,0,0,3,1
92,0,100.0,3,26,4,1,2,0,0,0
95,1,131.4,8,24,4,4,2,0,3,0
8,2,80.75,11,16,4,4,0,0,0,1
42,0,131.4,3,22,4,1,0,0,3,1
130,1,90.95,6,28,4,5,0,0,0,0
102,1,132.6,5,15,4,13,6,0,3,0
212,0,75.23,10,9,4,2,2,0,0,0
69,1,153.05,10,16,4,3,2,0,5,1
77,0,98.41,6,28,4,1,0,0,3,0
19,0,135.0,5,7,4,1,0,0,0,1
12,1,93.0,2,7,4,0,1,0,0,0
1,0,85.0,1,23,4,1,0,0,0,1
36,0,75.0,11,1,3,3,0,0,0,1
10,2,126.5,2,10,4,4,0,0,0,0
198,0,72.25,8,3,3,4,2,0,0,1
22,0,199.0,12,29,4,5,0,0,5,1
51,0,54.09,3,11,4,2,2,0,0,0
46,0,103.0,3,4,3,3,2,1,0,1
31,1,102.9,2,22,3,2,1,0,3,1
0,0,65.0,10,27,2,2,0,0,0,1
44,1,106.2,4,27,4,2,0,0,0,1
0,1,84.0,12,13,2,1,0,0,0,1
83,1,77.0,7,15,4,2,0,3,0,1
54,3,139.5,10,13,4,3,0,0,3,1
15,0,79.0,2,12,4,2,0,3,0,0
11,2,196.0,7,21,4,1,0,0,3,1
24,1,119.0,9,25,4,2,2,3,0,0
80,0,86.0,9,26,3,2,1,1,0,1
105,0,89.3,3,5,4,1,2,0,0,1
265,0,109.0,6,24,3,2,0,1,0,0
5,1,68.53,5,16,4,0,1,3,0,1
34,1,117.0,9,25,4,1,2,0,0,1
1,0,60.0,2,28,3,1,2,0,0,0
114,0,81.26,7,11,4,3,1,0,0,1
292,0,115.0,7,21,3,2,0,1,0,0
192,0,95.0,6,24,3,2,0,0,0,1
48,1,73.95,3,7,4,3,1,0,0,0
145,0,72.76,7,1,3,1,0,0,0,1
42,0,91.5,12,28,4,1,1,0,1,1
66,0,120.6,8,31,4,4,0,3,0,1
189,1,99.45,7,17,4,3,2,0,3,1
189,0,72.25,8,8,3,3,1,0,0,1
1,1,106.0,2,5,4,4,2,0,3,1
168,0,91.45,7,18,3,1,1,0,3,1
30,0,112.58,4,2,4,2,2,3,0,0
71,0,107.95,4,8,4,2,2,0,3,1
90,1,82.45,4,4,4,3,1,0,0,1
58,2,198.0,10,21,4,2,1,0,5,1
243,2,106.2,9,9,4,2,1,0,0,0
118,2,113.33,6,26,4,6,4,0,0,1
230,0,137.0,9,6,4,5,0,1,0,0
96,0,82.45,8,11,3,2,0,0,3,1
59,2,171.0,9,6,4,5,1,1,3,1
0,0,77.0,11,14,2,0,1,0,0,1
47,2,79.0,10,2,4,3,2,3,0,1
142,0,114.3,5,22,4,1,2,0,3,1
28,1,125.77,2,26,4,2,1,0,3,0
219,0,86.5,8,10,4,3,0,0,1,0
72,1,120.6,6,22,4,2,0,0,0,1
15,1,141.68,9,15,4,2,0,0,3,0
23,1,108.67,12,8,4,3,0,0,0,1
47,2,156.6,11,25,4,2,0,0,5,1
60,0,111.6,8,28,4,2,2,0,3,1
13,2,129.0,9,25,4,1,2,3,0,1
98,2,116.1,6,10,4,2,1,3,0,1
98,1,106.2,11,2,4,4,0,0,0,1
64,1,87.3,3,10,4,3,0,0,3,1
8,2,81.0,8,19,4,3,0,3,0,1
132,1,101.58,7,11,4,3,1,0,0,1
32,1,136.0,10,24,4,1,1,0,3,1
56,0,185.0,9,25,3,2,2,0,0,1
21,0,117.0,10,5,4,2,1,0,0,1
18,1,97.33,1,10,4,1,2,0,0,1
11,0,97.4,12,5,4,3,1,0,0,1
5,1,12.0,9,2,3,1,0,0,0,1
51,1,120.7,4,26,4,5,0,0,3,1
39,0,109.0,8,14,3,2,0,1,0,1
