,Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
22077,INN22078,2,0,2,1,Meal Plan 1,0,Room_Type 2,194,2018,7,9,Online,0,0,0,86.62,0,Canceled
8774,INN08775,2,0,1,3,Meal Plan 1,0,Room_Type 1,1,2018,5,26,Online,0,0,0,136.18,0,Not_Canceled
34981,INN34982,2,0,1,5,Meal Plan 1,0,Room_Type 1,90,2018,9,5,Offline,0,0,0,95.0,3,Not_Canceled
29743,INN29744,2,0,1,4,Meal Plan 1,0,Room_Type 1,4,2018,12,28,Online,0,0,0,125.0,1,Not_Canceled
6465,INN06466,1,0,0,2,Meal Plan 1,0,Room_Type 4,112,2018,8,17,Online,0,0,0,131.4,0,Canceled
16946,INN16947,2,0,0,2,Meal Plan 2,0,Room_Type 1,257,2017,7,1,Offline,0,0,0,101.5,0,Canceled
5319,INN05320,2,0,1,1,Meal Plan 1,0,Room_Type 1,275,2018,6,4,Online,0,0,0,62.8,0,Canceled
10046,INN10047,3,0,0,3,Meal Plan 1,0,Room_Type 4,132,2018,9,22,Online,0,0,0,162.0,2,Not_Canceled
29374,INN29375,2,0,0,3,Meal Plan 1,0,Room_Type 1,314,2018,10,12,Offline,0,0,0,75.0,0,Canceled
3470,INN03471,2,0,0,4,Meal Plan 1,0,Room_Type 1,0,2018,8,31,Offline,0,0,0,95.0,0,Not_Canceled
30616,INN30617,1,0,1,0,Meal Plan 1,0,Room_Type 5,21,2018,2,29,Offline,0,0,0,142.0,0,Not_Canceled
4129,INN04130,2,0,0,3,Meal Plan 1,0,Room_Type 1,132,2018,7,14,Offline,0,0,0,72.25,0,Not_Canceled
11328,INN11329,1,0,0,2,Meal Plan 2,0,Room_Type 1,292,2018,7,21,Offline,0,0,0,90.0,0,Not_Canceled
29715,INN29716,2,0,0,2,Meal Plan 1,0,Room_Type 2,71,2018,3,17,Online,0,0,0,69.0,1,Not_Canceled
20811,INN20812,2,1,2,4,Meal Plan 1,0,Room_Type 1,149,2018,8,3,Online,0,0,0,119.0,2,Not_Canceled
18988,INN18989,2,1,0,1,Not Selected,0,Room_Type 1,4,2018,1,9,Online,0,0,0,77.0,1,Not_Canceled
601,INN00602,2,0,2,3,Meal Plan 1,0,Room_Type 1,256,2018,10,23,Online,0,0,0,94.35,2,Canceled
23574,INN23575,2,0,2,5,Meal Plan 1,0,Room_Type 1,150,2018,3,19,Offline,0,0,0,41.43,2,Not_Canceled
26270,INN26271,2,0,0,2,Meal Plan 1,0,Room_Type 2,14,2018,7,22,Online,0,0,0,86.85,2,Not_Canceled
11530,INN11531,2,3,0,2,Meal Plan 1,0,Room_Type 7,114,2018,8,2,Online,0,0,0,266.3,0,Canceled
27765,INN27766,2,0,2,0,Meal Plan 2,0,Room_Type 1,75,2018,10,30,Offline,0,0,0,105.0,0,Canceled
22308,INN22309,1,0,1,0,Not Selected,0,Room_Type 1,131,2018,10,10,Online,0,0,0,108.0,0,Canceled
33834,INN33835,1,0,0,3,Meal Plan 1,0,Room_Type 1,148,2018,6,2,Online,0,0,0,100.8,0,Not_Canceled
14576,INN14577,2,0,2,2,Meal Plan 2,0,Room_Type 1,169,2018,4,22,Offline,0,0,0,106.0,0,Canceled
31727,INN31728,1,0,0,1,Meal Plan 1,0,Room_Type 1,2,2018,3,2,Offline,0,0,0,55.0,0,Not_Canceled
25801,INN25802,1,0,0,1,Meal Plan 1,0,Room_Type 1,12,2018,5,7,Online,0,0,0,135.0,0,Canceled
3924,INN03925,2,0,0,4,Not Selected,0,Room_Type 1,41,2018,1,20,Online,0,0,0,62.0,0,Not_Canceled
9567,INN09568,2,0,2,0,Meal Plan 1,0,Room_Type 4,135,2018,7,17,Online,0,0,0,127.8,2,Not_Canceled
18303,INN18304,2,0,2,1,Meal Plan 2,0,Room_Type 1,131,2017,8,15,Offline,0,0,0,94.5,0,Canceled
13819,INN13820,1,0,0,1,Meal Plan 1,0,Room_Type 1,6,2017,8,12,Corporate,0,0,0,65.0,0,Not_Canceled
35794,INN35795,2,0,2,1,Meal Plan 1,0,Room_Type 1,17,2017,10,17,Online,0,0,0,106.77,1,Not_Canceled
834,INN00835,2,0,0,2,Meal Plan 1,0,Room_Type 1,107,2018,6,10,Offline,0,0,0,130.0,1,Not_Canceled
6494,INN06495,2,0,1,2,Meal Plan 1,0,Room_Type 1,6,2017,12,18,Online,0,0,0,87.0,0,Not_Canceled
15990,INN15991,1,0,1,2,Meal Plan 1,0,Room_Type 1,114,2018,7,1,Offline,0,0,0,75.0,0,Canceled
29052,INN29053,3,0,1,3,Meal Plan 2,0,Room_Type 4,137,2018,8,8,Online,0,0,0,198.0,0,Canceled
30485,INN30486,2,0,1,3,Meal Plan 1,0,Room_Type 1,14,2017,9,7,Online,0,0,0,109.75,2,Not_Canceled
10395,INN10396,2,2,2,9,Meal Plan 1,0,Room_Type 2,252,2018,12,28,Online,0,0,0,148.58,2,Canceled
19054,INN19055,1,0,0,1,Meal Plan 1,0,Room_Type 1,1,2018,9,6,Corporate,0,0,0,95.0,0,Not_Canceled
6268,INN06269,1,0,0,2,Meal Plan 1,0,Room_Type 1,4,2018,5,31,Corporate,0,0,0,121.0,0,Not_Canceled
9893,INN09894,2,0,2,2,Not Selected,0,Room_Type 1,128,2018,6,26,Online,0,0,0,80.75,1,Not_Canceled
12022,INN12023,2,0,2,4,Meal Plan 1,0,Room_Type 1,176,2018,3,20,Online,0,0,0,90.0,1,Not_Canceled
22280,INN22281,2,0,0,2,Meal Plan 1,0,Room_Type 1,317,2018,9,15,Offline,0,0,0,120.0,0,Canceled
32194,INN32195,2,0,0,1,Meal Plan 1,0,Room_Type 1,8,2018,6,4,Online,0,0,0,129.2,3,Not_Canceled
28090,INN28091,2,0,0,3,Not Selected,1,Room_Type 1,35,2018,10,27,Online,0,0,0,118.0,2,Not_Canceled
22945,INN22946,2,0,0,2,Meal Plan 1,0,Room_Type 1,64,2018,5,17,Corporate,0,0,0,140.0,0,Canceled
4349,INN04350,2,2,2,1,Meal Plan 1,0,Room_Type 6,110,2018,7,30,Online,0,0,0,168.1,3,Not_Canceled
23674,INN23675,1,0,0,1,Meal Plan 1,0,Room_Type 1,19,2018,8,31,Online,0,0,0,99.2,0,Canceled
32806,INN32807,2,0,0,2,Meal Plan 1,1,Room_Type 4,129,2018,8,25,Online,0,0,0,118.8,0,Not_Canceled
11365,INN11366,3,0,1,4,Meal Plan 1,0,Room_Type 4,0,2018,6,27,Online,0,0,0,134.57,3,Not_Canceled
11270,INN11271,2,0,0,1,Meal Plan 1,0,Room_Type 4,54,2018,6,4,Online,0,0,0,140.4,0,Canceled
27819,INN27820,2,0,0,2,Meal Plan 1,0,Room_Type 1,14,2018,7,21,Corporate,0,0,0,105.0,0,Not_Canceled
25482,INN25483,2,0,0,4,Meal Plan 1,0,Room_Type 4,163,2018,6,29,Online,0,0,0,99.45,1,Not_Canceled
18636,INN18637,2,0,1,2,Meal Plan 1,0,Room_Type 1,8,2018,2,19,Offline,0,0,0,85.0,1,Not_Canceled
10047,INN10048,1,0,1,1,Meal Plan 1,0,Room_Type 1,82,2018,5,2,Offline,0,0,0,80.0,1,Not_Canceled
15705,INN15706,2,0,1,2,Meal Plan 2,0,Room_Type 1,309,2018,5,13,Offline,0,0,0,101.0,0,Canceled
13760,INN13761,1,0,0,1,Meal Plan 1,0,Room_Type 1,14,2017,10,15,Offline,0,0,0,100.0,0,Not_Canceled
4222,INN04223,2,0,2,4,Meal Plan 1,0,Room_Type 1,90,2017,10,25,Online,0,0,0,89.25,0,Not_Canceled
4778,INN04779,2,0,0,1,Meal Plan 1,1,Room_Type 1,20,2018,8,5,Online,0,0,0,12.0,1,Not_Canceled
5248,INN05249,2,0,0,2,Meal Plan 1,0,Room_Type 4,77,2018,4,6,Online,0,0,0,105.3,1,Not_Canceled
